date,ticker,name
2019-06-26,CMBM,Cambium Networks Corp
2019-06-26,LINX,Linx S.A.
2019-06-27,BBIO,"BridgeBio Pharma, Inc."
2019-06-27,CHNG,Change Healthcare Inc.
2019-06-27,MORF,"Morphic Holding, Inc."
2019-06-28,KRTX,"Karuna Therapeutics, Inc."
2019-06-28,REAL,"TheRealReal, Inc."
2019-07-18,AMK,"AssetMark Financial Holdings, Inc."
2019-07-18,FULC,"Fulcrum Therapeutics, Inc."
2019-07-18,GMAB,GENMAB A/S
2019-07-18,MIRM,"Mirum Pharmaceuticals, Inc."
2019-07-19,AFYA,Afya Ltd
2019-07-19,IFS,Intercorp Financial Services Inc.
2019-07-19,MDLA,"Medallia, Inc."
2019-07-25,CSTL,CASTLE BIOSCIENCES INC
2019-07-25,HCAT,"Health Catalyst, Inc."
2019-07-25,LVGO,"Livongo Health, Inc."
2019-07-25,NOVA,Sunnova Energy International Inc.
2019-07-25,PROS,"ProSight Global, Inc."
2019-07-26,BHAT,Blue Hat Interactive Entertainment Technology
2019-07-26,VIST,"Vista Energy, S.A.B. de C.V."
2019-07-26,WSG,Wanda Sports Group Co Ltd
2019-08-01,DT,"Dynatrace, Inc."
2019-08-01,KRUS,"KURA SUSHI USA, INC."
2019-08-01,SNDL,SNDL Inc.
2019-08-05,HKIB,AMTD IDEA GROUP
2019-08-08,INMD,InMode Ltd.
2019-08-14,PLIN,BIT ORIGIN Ltd
2019-08-15,CFB,"CROSSFIRST BANKSHARES, INC."
2019-09-12,SDC,"SmileDirectClub, Inc."
2019-09-12,TXG,"10X Genomics, Inc."
2019-09-13,ALRS,ALERUS FINANCIAL CORP
2019-09-13,NET,"CloudFlare, Inc."
2019-09-13,STSA,"Satsuma Pharmaceuticals, Inc."
2019-09-13,SWTX,"SpringWorks Therapeutics, Inc."
2019-09-18,IGMS,"IGM Biosciences, Inc."
2019-09-19,DDOG,"Datadog, Inc."
2019-09-19,PING,Ping Identity Holding Corp.
2019-09-19,XGN,EXAGEN INC.
2019-09-26,OPRT,Oportun Financial Corp
2019-09-26,PTON,"PELOTON INTERACTIVE, INC."
2019-10-03,APRE,"Aprea Therapeutics, Inc."
2019-10-03,FREQ,"Korro Bio, Inc."
2019-10-03,MCBS,"MetroCity Bankshares, Inc."
2019-10-03,VIE,"Viela Bio, Inc."
2019-10-10,BNTX,BioNTech SE
2019-10-11,HBT,"HBT Financial, Inc."
2019-10-17,IPHA,Innate Pharma SA
2019-10-24,BRP,"Baldwin Insurance Group, Inc."
2019-10-25,AIH,Aesthetic Medical International Holdings Group Ltd
2019-10-25,CABA,"Cabaletta Bio, Inc."
2019-10-25,DAO,"Youdao, Inc."
2019-10-25,HAPP,Paranovus Entertainment Technology Ltd.
2019-10-25,PGNY,"Progyny, Inc."
2019-10-25,PHAT,"Phathom Pharmaceuticals, Inc."
2019-10-25,TFFP,"TFF Pharmaceuticals, Inc."
2019-10-31,OYST,"Oyster Point Pharma, Inc."
2019-10-31,RAPT,"RAPT Therapeutics, Inc."
2019-11-01,DUO,Fangdd Network Group Ltd.
2019-11-05,QK,XChange TEC.INC
2019-11-07,CNTG,Centogene N.V.
2019-11-07,GRTX,"Galera Therapeutics, Inc."
2019-11-08,CNSP,"CNS Pharmaceuticals, Inc."
2019-11-08,MOHO,ECMOHO Ltd
2019-11-08,TELA,"TELA Bio, Inc."
2019-11-11,ETNB,"89bio, Inc."
2019-11-13,YAYO,"EVmo, Inc."
2019-11-21,CAN,Canaan Inc.
2019-11-21,SITM,SITIME Corp
2019-11-22,PINE,"Alpine Income Property Trust, Inc."
2019-12-05,LMPX,"LMP Automotive Holdings, Inc."
2019-12-11,XP,XP Inc.
2019-12-12,BILL,"BILL Holdings, Inc."
2019-12-12,EH,EHang Holdings Ltd
2019-12-13,OCFT,"ONECONNECT FINANCIAL TECHNOLOGY CO., LTD."
2019-12-13,SPT,"Sprout Social, Inc."
2019-12-19,INDO,Indonesia Energy Corp Ltd
2019-12-30,MKD,Molecular Data Inc.
2020-01-17,DNK,Phoenix Tree Holdings Ltd
2020-01-17,IMAB,NovaBridge Biosciences
2020-01-17,LIZI,Sound Group Inc.
2020-01-17,VEL,"Velocity Financial, Inc."
2020-01-29,ANVS,"Annovis Bio, Inc."
2020-01-30,ANPC,Fresh2 Group Ltd
2020-01-30,BDTX,"Black Diamond Therapeutics, Inc."
2020-01-31,ARQT,"Arcutis Biotherapeutics, Inc."
2020-01-31,ONEM,1life Healthcare Inc
2020-01-31,REYN,Reynolds Consumer Products Inc.
2020-02-06,BEAM,Beam Therapeutics Inc.
2020-02-06,PPD,"PPD, Inc."
2020-02-07,NREF,"NexPoint Real Estate Finance, Inc."
2020-02-07,PFHD,Professional Holding Corp.
2020-02-12,HUIZ,Huize Holding Ltd
2020-02-13,GRIL,Sadot Group Inc.
2020-02-13,MEDS,"Scienture Holdings, Inc."
2020-02-13,RVMD,"Revolution Medicines, Inc."
2020-02-24,ZCMD,Zhongchao Inc.
2020-02-28,PASG,"Passage BIO, Inc."
2020-03-03,GFL,GFL Environmental Inc.
2020-03-12,IMRA,"Enliven Therapeutics, Inc."
2020-04-01,WIMI,WiMi Hologram Cloud Inc.
2020-04-03,ZNTL,"Zentalis Pharmaceuticals, Inc."
2020-04-08,KROS,"Keros Therapeutics, Inc."
2020-04-24,ORIC,"Oric Pharmaceuticals, Inc."
2020-05-01,LYRA,"Lyra Therapeutics, Inc."
2020-05-05,GAN,GAN Ltd
2020-05-08,AYLA,"Old Ayala, Inc"
2020-05-08,KC,Kingsoft Cloud Holdings Ltd
2020-05-15,ADCT,ADC Therapeutics SA
2020-05-21,SLQT,"SelectQuote, Inc."
2020-05-22,NARI,"Inari Medical, Inc."
2020-06-03,PLRX,"PLIANT THERAPEUTICS, INC."
2020-06-03,WMG,Warner Music Group Corp.
2020-06-04,ZI,ZoomInfo Technologies Inc.
2020-06-05,AMTI,Applied Molecular Transport Inc.
2020-06-05,CALT,Calliditas Therapeutics AB
2020-06-05,DADA,Dada Nexus Ltd
2020-06-05,LEGN,Legend Biotech Corp
2020-06-09,VRM,"Vroom, Inc."
2020-06-10,UCL,uCloudlink Group Inc.
2020-06-11,LTRN,Lantern Pharma Inc.
2020-06-12,AZEK,AZEK Co Inc.
2020-06-12,GBIO,Generation Bio Co.
2020-06-12,PCVX,"Vaxcyte, Inc."
2020-06-12,RNA,"Avidity Biosciences, Inc."
2020-06-16,RPRX,Royalty Pharma plc
2020-06-19,FMTX,"Forma Therapeutics Holdings, Inc."
2020-06-19,GTH,Genetron Holdings Ltd
2020-06-19,PROG,"BIORA THERAPEUTICS, INC."
2020-06-19,RPTX,Repare Therapeutics Inc.
2020-06-26,ACI,"Albertsons Companies, Inc."
2020-06-26,AKUS,"Akouos, Inc."
2020-06-26,API,"Agora, Inc."
2020-06-26,EBON,Ebang International Holdings Inc.
2020-06-26,FUSN,Fusion Pharmaceuticals Inc.
2020-06-26,PYPD,PolyPid Ltd.
2020-06-30,ADTX,"Aditxt, Inc."
2020-07-01,DNB,"Dun & Bradstreet Holdings, Inc."
2020-07-02,ACCD,"Accolade, Inc."
2020-07-02,LMND,"Lemonade, Inc."
2020-07-08,BLCT,BlueCity Holdings Ltd
2020-07-08,TXAC,POINT Biopharma Global Inc.
2020-07-10,IVA,Inventiva S.A.
2020-07-10,NKTX,"Nkarta, Inc."
2020-07-10,PSTX,"Poseida Therapeutics, Inc."
2020-07-10,QH,QUHUO Ltd
2020-07-14,NCNO,"nCino OpCo, Inc."
2020-07-15,GOCO,"GoHealth, Inc."
2020-07-16,RLAY,"Relay Therapeutics, Inc."
2020-07-17,ALXO,ALX ONCOLOGY HOLDINGS INC
2020-07-17,BLI,"Bruker Cellular Analysis, Inc."
2020-07-17,PAND,"Pandion Therapeutics, Inc."
2020-07-17,RNLX,Renalytix plc
2020-07-22,JAMF,Jamf Holding Corp.
2020-07-23,EDTK,Skillful Craftsman Education Technology Ltd
2020-07-23,MEG,"Onterris, Inc."
2020-07-24,ANNX,"Annexon, Inc."
2020-07-24,INZY,"Inozyme Pharma, Inc."
2020-07-24,ITOS,"iTeos Therapeutics, Inc."
2020-07-24,NRIX,"Nurix Therapeutics, Inc."
2020-07-29,VERX,"Vertex, Inc."
2020-07-30,LI,Li Auto Inc.
2020-07-31,FTHM,Fathom Holdings Inc.
2020-07-31,GOED,Polished.com Inc.
2020-07-31,VITL,"Vital Farms, Inc."
2020-07-31,VSTA,Vasta Platform Ltd
2020-08-04,HSAQ,"Orchestra BioMed Holdings, Inc."
2020-08-05,BIGC,"Commerce.com, Inc."
2020-08-05,RXT,"Rackspace Technology, Inc."
